orderid,unitno,modelid,evalcode,asample,prev,preva,oilchangelast,oilhours,PQI,Pb,Al,P,Ca,Zn,Cu,Si,Na,K,Mo,B,Fe,ST,V40,OXI,NIT,SUL
15,P,HME Model 1 type 3,C,0,3,0,1,244,0,0,2,886,2393,1004,3,5,7,5,1,3,28,25,106.9,13,7,21
16,P,HME Model 1 type 3,C,0,3,0,1,248,1,0,4,899,2371,1021,2,8,0,5,1,5,36,21,109,11,6,18
17,P,HME Model 1 type 3,C,0,3,0,1,315,0,0,2,1009,2719,1156,2,4,0,5,0,1,25,22,107.2,13,7,20
18,P,HME Model 1 type 3,C,0,3,0,1,280,0,0,3,955,2594,1060,2,5,7,4,1,3,33,25,110.8,13,7,21
19,P,HME Model 1 type 3,C,0,2,0,1,207,0,1,3,967,2603,1078,2,3,3,4,1,3,24,23,106.6,12,6,19
20,P,HME Model 1 type 3,B,0,2,0,1,286,0,0,2,976,2578,1034,1,3,6,2,0,0,19,19,108.4,13,7,21
21,P,HME Model 1 type 3,B,0,2,0,1,259,0,0,1,943,2544,1049,2,2,7,3,0,1,18,25,106.3,12,7,19
22,P,HME Model 1 type 3,B,0,1,1,1,280,1,0,2,969,2566,1071,1,4,4,1,0,2,14,26,114.1,12,7,19
23,P,HME Model 1 type 3,A,1,2,0,1,237,0,0,2,929,2393,1017,1,2,5,4,0,0,15,27,106.6,12,7,20
26,P,HME Model 1 type 3,B,0,2,0,1,171,0,3,1,904,2444,998,0,2,3,0,2,0,9,24,110.6,12,6,20
27,P,HME Model 1 type 3,B,0,2,0,1,239,0,0,2,894,2405,984,0,2,0,1,0,1,14,27,110.5,11,6,19
28,P,HME Model 1 type 3,B,0,1,1,1,246,3,0,2,918,2566,1057,1,2,1,2,0,1,17,35,108.9,13,7,21
29,P,HME Model 1 type 3,A,1,2,0,1,240,0,0,1,867,2402,985,1,2,5,2,0,0,11,26,106.8,12,6,20
30,P,HME Model 1 type 3,B,0,2,0,1,284,0,0,2,902,2475,1020,1,2,7,2,0,0,12,27,110.6,12,7,21
31,P,HME Model 1 type 3,B,0,2,0,1,236,0,0,1,939,2550,1036,1,4,12,4,0,0,17,23,108.5,12,6,19
32,P,HME Model 1 type 3,B,0,2,0,1,201,0,0,2,928,2443,1040,1,3,15,3,0,1,19,24,106.3,13,7,21
33,P,HME Model 1 type 3,B,0,2,0,1,246,0,0,0,927,2494,1057,1,3,8,2,0,1,18,24,104.4,13,7,20
35,Q,HME Model 1 type 3,B,0,2,0,1,281,0,2,0,851,2312,1001,283,3,12,20,2,2,16,20,102.8,14,7,21
36,Q,HME Model 1 type 3,B,0,2,0,1,234,2,4,0,913,2476,1056,344,2,6,2,0,0,17,19,104.1,12,6,20
37,Q,HME Model 1 type 3,B,0,2,0,1,304,0,2,1,770,2341,1022,530,2,7,2,0,0,16,18,103.2,14,7,21
38,Q,HME Model 1 type 3,B,0,2,0,1,248,0,5,0,796,2159,928,424,1,5,2,0,0,20,23,101.3,12,6,18
39,Q,HME Model 1 type 3,B,0,3,0,1,223,1,2,0,837,2463,1052,3,2,5,3,0,1,14,18,105.2,14,7,21
40,Q,HME Model 1 type 3,C,0,3,0,1,237,1,0,1,919,2480,1069,6,2,5,3,0,0,19,25,103.3,12,6,19
41,Q,HME Model 1 type 3,C,0,2,0,1,334,1,0,1,820,2243,929,9,4,8,3,0,0,26,29,105.1,12,7,20
42,Q,HME Model 1 type 3,B,0,2,0,1,231,4,2,1,782,2198,929,3,2,2,2,0,2,18,22,105.7,10,6,18
43,Q,HME Model 1 type 3,B,0,2,0,1,208,0,1,0,848,2416,1013,3,2,0,2,0,1,16,28,110.8,12,6,19
44,Q,HME Model 1 type 3,B,0,2,0,1,195,1,2,0,870,2344,1000,4,2,5,2,0,2,16,20,110.7,12,6,20
45,Q,HME Model 1 type 3,B,0,3,0,1,238,0,2,1,914,2376,1009,9,2,5,2,0,3,21,20,105.4,14,7,20
46,Q,HME Model 1 type 3,C,0,3,0,1,308,1,0,0,813,2182,958,11,1,5,2,0,3,23,24,104.4,13,7,19
47,Q,HME Model 1 type 3,C,0,3,0,1,257,0,0,1,959,2557,1055,3,3,0,0,0,5,23,27,106.8,13,7,20
48,Q,HME Model 1 type 3,C,0,2,0,1,131,0,0,1,850,2106,968,5,1,7,3,1,4,15,20,109.2,13,6,20
49,Q,HME Model 1 type 3,B,0,3,0,1,246,0,1,1,987,2577,1128,10,2,8,0,0,0,31,27,105.5,12,6,20
50,Q,HME Model 1 type 3,C,0,3,0,0,427,0,1,1,966,2364,1091,14,4,17,1,1,1,23,27,102,13,7,22
51,Q,HME Model 1 type 3,C,0,2,0,1,126,35,4,15,811,2117,900,2,3,2,2,0,0,16,10,112.6,9,5,17
52,Q,HME Model 1 type 3,B,0,2,0,1,195,0,0,1,917,2476,1029,1,2,6,1,0,0,15,15,107.1,12,7,19
53,Q,HME Model 1 type 3,B,0,3,0,1,253,0,0,2,933,2329,1011,2,3,6,4,0,0,18,18,106.9,12,6,19
54,Q,HME Model 1 type 3,C,0,1,1,1,293,0,0,2,885,2248,969,3,3,5,4,0,0,28,20,105.4,14,8,20
55,Q,HME Model 1 type 3,A,1,3,0,1,242,0,0,2,945,2552,1073,2,3,2,0,1,0,19,19,107.9,12,6,20
56,Q,HME Model 1 type 3,C,0,4,0,1,239,0,0,3,862,2245,971,8,7,1,1,0,0,31,22,105.4,13,7,20
57,Q,HME Model 1 type 3,X,0,3,0,1,197,0,0,4,960,2599,1070,2,5,2,0,0,0,35,22,107.3,12,6,20
58,Q,HME Model 1 type 3,C,0,2,0,1,277,0,0,3,944,2529,1019,2,3,4,0,0,0,29,26,109,12,7,20
59,Q,HME Model 1 type 3,B,0,3,0,1,550,1,0,2,822,2375,965,1,3,0,1,0,1,18,23,107.4,11,6,18
60,Q,HME Model 1 type 3,C,0,1,1,1,269,0,0,0,905,2575,1032,4,3,4,2,0,0,24,25,103.3,11,6,20
61,Q,HME Model 1 type 3,A,1,1,1,1,227,1,0,1,866,2347,996,3,2,4,1,0,0,14,26,108.5,12,7,20
62,Q,HME Model 1 type 3,A,1,2,0,1,277,0,0,2,979,2504,1063,4,2,5,2,0,0,19,25,106.9,13,7,20
63,Q,HME Model 1 type 3,B,0,1,1,1,330,3,0,2,918,2433,1030,6,2,14,4,0,1,22,24,107,13,7,20
64,Q,HME Model 1 type 3,A,1,3,0,1,269,3,1,1,834,2311,990,5,2,7,2,0,1,13,18,106.8,13,7,21
65,Q,HME Model 1 type 3,C,0,1,1,1,183,46,1,2,942,2476,1057,5,2,15,3,0,0,13,17,107.6,12,6,18
66,Q,HME Model 1 type 3,A,1,2,0,1,226,0,1,0,923,2464,1014,7,2,10,2,0,0,13,19,105.5,13,7,20
67,Q,HME Model 1 type 3,B,0,2,0,1,232,0,0,0,888,2265,986,8,2,8,2,0,0,13,14,106.1,11,6,19
69,R,HME Model 1 type 3,X,0,2,0,1,221,0,0,1,886,2451,1011,3,3,6,0,0,0,22,37,110.1,14,8,22
70,R,HME Model 1 type 3,B,0,2,0,0,477,0,1,0,944,2555,1105,7,3,6,3,0,0,30,41,110.1,16,9,23
71,R,HME Model 1 type 3,B,0,3,0,1,265,0,0,1,897,2228,984,1,4,6,2,0,0,2,0,113.9,12,4,19
72,R,HME Model 1 type 3,C,0,4,0,1,212,0,3,1,877,2472,1056,56,3,7,5,0,2,31,40,111.5,13,7,21
73,R,HME Model 1 type 3,X,0,3,0,1,243,0,2,1,863,2438,1025,150,3,12,12,2,1,34,42,113.3,13,7,21
74,R,HME Model 1 type 3,C,0,3,0,1,133,0,0,1,850,2266,986,10,2,4,2,2,2,22,32,112.5,15,8,22
75,R,HME Model 1 type 3,C,0,3,0,1,206,0,0,1,910,2380,1015,32,2,3,2,0,2,19,31,114.1,14,7,21
76,R,HME Model 1 type 3,C,0,3,0,1,197,0,0,0,837,2248,988,134,2,4,3,0,2,24,34,114.7,14,7,22
77,R,HME Model 1 type 3,C,0,3,0,1,274,0,1,1,710,2279,977,422,3,9,3,0,3,29,40,112.2,17,9,24
78,R,HME Model 1 type 3,C,0,3,0,1,220,0,3,1,949,2562,1054,361,2,9,4,1,3,31,40,111.3,15,8,24
79,R,HME Model 1 type 3,C,0,3,0,1,171,0,0,1,852,2202,976,4,2,7,2,0,0,17,28,110.1,15,8,22
80,R,HME Model 1 type 3,C,0,3,0,1,185,0,0,2,921,2402,1031,8,2,2,2,0,1,25,33,109.7,13,7,20
81,R,HME Model 1 type 3,C,0,3,0,1,233,0,0,2,933,2413,1071,10,2,6,2,0,2,26,31,108.9,14,7,22
82,R,HME Model 1 type 3,C,0,3,0,1,259,0,1,2,918,2511,1060,14,3,0,2,1,3,35,33,108.6,12,6,19
83,R,HME Model 1 type 3,C,0,3,0,1,237,0,2,3,964,2492,1084,71,3,2,4,0,3,31,25,107.9,13,6,20
84,R,HME Model 1 type 3,C,0,3,0,1,230,4,0,3,1045,2648,1115,6,7,41,91,10,4,28,19,109.4,16,8,22
85,R,HME Model 1 type 3,C,0,2,0,1,149,0,0,5,994,2546,1076,3,11,9,10,1,0,29,5,108.4,13,6,20
86,R,HME Model 1 type 3,B,0,2,0,1,236,0,0,2,939,2550,1091,3,5,19,38,4,2,22,15,104.2,12,7,20
87,R,HME Model 1 type 3,B,0,2,0,1,205,1,0,2,903,2368,1018,2,4,12,23,2,0,17,15,96.4,12,6,19
88,R,HME Model 1 type 3,B,0,2,0,1,177,0,2,3,911,2456,996,3,0,11,19,3,0,20,20,98.3,12,6,20
89,R,HME Model 1 type 3,B,0,3,0,0,455,5,0,3,901,2420,1010,6,3,8,6,2,2,27,22,99.4,11,6,18
91,R,HME Model 1 type 3,A,1,2,0,1,151,0,0,2,987,2601,1076,3,3,3,5,1,3,15,17,109.2,12,6,19
92,R,HME Model 1 type 3,B,0,2,0,1,217,1,0,2,915,2456,1029,3,3,6,4,0,1,16,16,112.1,10,6,18
93,R,HME Model 1 type 3,B,0,2,0,1,201,0,0,0,933,2504,1027,2,3,8,5,0,0,15,18,106.4,11,6,18
94,R,HME Model 1 type 3,B,0,3,0,1,115,2,0,2,886,2373,1015,2,3,15,12,1,0,9,8,108.3,12,6,20
95,R,HME Model 1 type 3,C,0,4,0,1,189,0,1,1,852,2210,956,3,5,30,48,5,2,15,14,109.8,11,6,19
97,S,HME Model 1 type 3,B,0,2,0,0,408,5,2,2,912,2584,1111,2,3,9,7,2,2,29,18,116,18,9,24
98,S,HME Model 1 type 3,B,0,2,0,1,165,0,0,2,919,2459,1057,0,3,6,4,0,2,13,6,112.7,13,6,20
99,S,HME Model 1 type 3,B,0,2,0,0,598,0,2,2,953,2557,1101,2,3,10,8,1,3,32,21,111,18,9,25
100,S,HME Model 1 type 3,B,0,1,1,1,301,0,0,2,916,2468,1059,1,5,0,5,1,4,22,13,113.1,14,7,20
101,S,HME Model 1 type 3,A,1,1,1,0,494,0,1,2,987,2609,1102,2,3,4,2,1,1,17,14,99.7,12,5,19
102,S,HME Model 1 type 3,A,1,1,1,1,224,0,2,2,1095,2846,1178,0,7,0,5,0,0,10,3,112.6,14,7,20
103,S,HME Model 1 type 3,A,1,3,0,0,547,0,0,2,981,2533,1047,0,7,4,3,1,3,11,6,103.8,14,7,21
104,S,HME Model 1 type 3,C,0,3,0,1,267,0,0,2,959,2615,1050,1,3,7,4,0,1,20,13,110,17,9,25
105,S,HME Model 1 type 3,C,0,1,1,0,536,0,3,2,1025,2743,1168,2,3,2,4,0,1,29,24,106.6,20,10,24
106,S,HME Model 1 type 3,A,1,1,1,1,259,1,0,1,959,2431,1039,0,2,6,2,0,0,9,8,108.2,15,7,21
107,S,HME Model 1 type 3,A,1,2,0,0,442,0,0,2,929,2435,1039,0,4,0,1,1,0,10,8,108,15,7,21
108,S,HME Model 1 type 3,B,0,4,0,1,196,1,0,1,998,2567,1080,0,8,0,0,0,0,4,0,113.1,13,4,19
109,S,HME Model 1 type 3,X,0,3,0,0,575,0,6,3,1066,2793,1048,63,32,284,698,90,10,25,17,112.2,16,9,25
110,S,HME Model 1 type 3,C,0,3,0,1,287,0,1,1,936,2661,1095,1,2,1,3,0,0,18,15,109.9,15,8,20
111,S,HME Model 1 type 3,C,0,3,0,0,530,4,4,3,929,2706,1123,2,4,7,5,0,0,40,30,114.2,19,10,25
112,S,HME Model 1 type 3,C,0,2,0,1,241,5,2,3,982,2641,1114,4,3,6,6,0,1,20,15,112.7,16,8,22
113,S,HME Model 1 type 3,B,0,1,1,0,495,3,2,3,953,2704,1124,2,3,4,2,0,2,24,21,109.3,15,8,21
114,S,HME Model 1 type 3,A,1,1,1,1,222,0,0,2,967,2615,1069,0,4,0,1,0,1,9,6,109,12,6,18
115,S,HME Model 1 type 3,A,1,1,1,0,444,0,0,0,952,2579,1023,0,2,2,3,1,1,7,3,107.7,13,6,18
116,S,HME Model 1 type 3,A,1,1,1,1,211,0,2,0,901,2616,1042,0,2,3,2,0,0,12,6,107.2,13,7,20
117,S,HME Model 1 type 3,A,1,1,1,0,444,1,2,2,970,2719,1124,1,2,7,2,0,0,16,8,112.9,15,8,21
118,S,HME Model 1 type 3,A,1,2,0,1,185,0,0,1,1016,2511,1066,0,2,4,2,0,0,6,2,108.4,13,6,19
119,S,HME Model 1 type 3,B,0,2,0,0,437,0,3,0,995,2743,1115,1,3,10,2,0,0,20,10,111.4,16,8,22
120,S,HME Model 1 type 3,B,0,2,0,1,219,1,1,1,958,2636,1094,1,4,12,2,0,0,13,4,112.3,13,6,19
121,S,HME Model 1 type 3,B,0,2,0,0,433,0,2,3,963,2601,1099,1,2,14,2,0,1,27,12,109.5,16,8,22
122,S,HME Model 1 type 3,B,0,2,0,1,224,4,1,2,948,2531,1087,1,2,14,0,0,1,17,8,108.5,17,8,23
123,S,HME Model 1 type 3,B,0,2,0,0,479,0,1,2,952,2471,1077,1,2,13,3,0,1,24,15,107.6,17,9,23
126,T,HME Model 1 type 3,B,0,2,0,1,217,0,0,1,856,2323,994,4,4,11,15,2,2,12,18,111.5,14,7,21
127,T,HME Model 1 type 3,B,0,2,0,1,239,0,0,0,769,2151,942,3,2,6,4,0,0,13,28,111.2,13,7,20
128,T,HME Model 1 type 3,B,0,1,1,1,212,0,0,1,894,2388,1028,4,4,11,9,1,0,14,19,110.2,14,7,21
129,T,HME Model 1 type 3,A,1,2,0,1,160,0,0,2,956,2504,1080,3,4,4,5,0,0,11,12,110.3,11,6,19
130,T,HME Model 1 type 3,B,0,1,1,1,236,0,0,1,792,2218,965,4,2,4,4,0,0,17,27,111.5,15,8,22
131,T,HME Model 1 type 3,A,1,2,0,1,265,0,0,1,918,2530,1054,4,3,2,4,0,2,19,24,114.6,15,7,21
132,T,HME Model 1 type 3,B,0,3,0,1,207,29,0,1,777,2224,912,11,2,5,4,1,3,12,18,110.6,14,7,21
133,T,HME Model 1 type 3,C,0,2,0,1,145,35,0,1,911,2384,1047,3,3,5,4,0,3,10,14,114.6,12,6,20
134,T,HME Model 1 type 3,B,0,2,0,1,209,0,0,1,795,2214,952,9,2,5,5,1,4,13,20,107.6,12,6,19
135,T,HME Model 1 type 3,B,0,2,0,1,224,2,0,1,843,2364,1006,20,2,3,2,0,0,14,20,101.3,14,7,22
136,T,HME Model 1 type 3,B,0,2,0,1,303,0,0,1,856,2191,966,13,2,5,2,0,0,12,11,106.6,14,8,17
138,T,HME Model 1 type 3,B,0,3,0,1,289,1,0,2,868,2523,1061,172,3,6,2,0,3,22,28,112,14,7,21
139,T,HME Model 1 type 3,C,0,3,0,1,207,0,0,2,936,2736,1093,85,3,8,4,5,2,18,20,106.2,12,6,20
140,T,HME Model 1 type 3,C,0,2,0,1,218,2,0,3,902,2546,1037,123,4,7,4,1,0,22,20,107.4,13,7,22
141,T,HME Model 1 type 3,B,0,2,0,1,296,0,0,0,944,2725,1118,129,0,2,2,2,0,17,21,108.7,12,7,20
142,T,HME Model 1 type 3,B,0,2,0,1,238,0,0,1,955,2487,1072,53,1,0,6,2,0,13,20,108.6,12,6,20
143,T,HME Model 1 type 3,B,0,2,0,1,170,0,0,1,835,2424,1012,205,3,12,20,3,2,15,19,108.2,12,6,19
144,T,HME Model 1 type 3,B,0,2,0,1,244,0,2,1,950,2638,1082,476,4,7,5,0,0,21,25,110.1,13,7,20
145,T,HME Model 1 type 3,B,0,1,1,1,209,4,0,0,867,2565,979,171,4,11,8,0,0,17,25,111.3,12,6,18
146,T,HME Model 1 type 3,A,1,1,1,1,222,0,0,1,855,2408,995,5,2,7,3,0,0,14,22,112,13,7,20
147,T,HME Model 1 type 3,A,1,2,0,1,200,5,0,1,881,2411,1023,6,2,6,4,1,1,11,17,108.3,13,7,21
149,U,HME Model 1 type 3,B,0,1,1,1,272,0,0,0,847,2441,977,2,3,7,4,0,1,15,35,108.9,14,8,21
150,U,HME Model 1 type 3,A,1,2,0,1,263,0,0,1,880,2469,1027,2,4,6,0,0,2,12,29,108.9,13,7,21
151,U,HME Model 1 type 3,B,0,1,1,1,299,1,0,1,825,2338,942,2,4,6,1,0,0,16,38,110.1,14,7,21
152,U,HME Model 1 type 3,A,1,2,0,1,241,2,0,0,925,2546,1038,2,4,4,2,0,1,12,28,110.6,14,7,20
153,U,HME Model 1 type 3,B,0,2,0,1,225,0,0,1,795,2187,929,3,2,2,1,0,0,9,23,113.5,15,7,22
154,U,HME Model 1 type 3,B,0,2,0,1,249,4,3,1,871,2539,1043,6,2,5,3,0,2,13,28,113,12,7,19
155,U,HME Model 1 type 3,B,0,2,0,1,257,4,0,1,792,2257,938,2,4,2,2,0,3,14,31,114.1,15,8,22
156,U,HME Model 1 type 3,B,0,2,0,1,207,0,0,1,841,2456,1013,1,2,0,2,1,2,10,26,116.4,13,6,20
157,U,HME Model 1 type 3,B,0,2,0,1,274,0,0,1,852,2475,1027,4,3,4,3,0,2,14,33,117,13,7,20
158,U,HME Model 1 type 3,B,0,2,0,1,238,0,0,1,899,2326,995,0,3,5,2,0,0,7,10,113.8,14,6,21
159,U,HME Model 1 type 3,B,0,3,0,1,230,1,0,1,983,2634,1094,1,2,6,5,1,6,14,24,112.9,13,7,22
160,U,HME Model 1 type 3,C,0,2,0,1,205,0,1,1,835,2197,980,2,2,8,8,2,4,19,35,113.5,15,7,22
162,U,HME Model 1 type 3,B,0,1,1,0,511,0,0,2,1031,2828,1143,1,3,0,8,0,2,17,29,112.5,14,7,21
163,U,HME Model 1 type 3,A,1,2,0,1,230,0,0,2,950,2640,1084,2,3,7,6,1,3,13,24,108.9,13,7,21
164,U,HME Model 1 type 3,B,0,2,0,1,189,1,0,2,894,2511,1026,2,5,7,6,0,0,22,24,96.3,13,7,20
165,U,HME Model 1 type 3,B,0,1,1,1,178,4,0,1,1022,2620,1092,0,2,0,0,0,0,5,0,115.3,11,4,18
166,U,HME Model 1 type 3,A,1,1,1,1,272,1,0,2,958,2581,1070,1,2,4,3,0,0,16,30,107.6,13,7,20
167,U,HME Model 1 type 3,A,1,2,0,1,267,0,0,1,916,2431,995,0,5,4,3,0,0,10,19,110.6,13,6,19
169,U,HME Model 1 type 3,B,0,3,0,1,289,0,0,2,960,2747,1142,2,2,0,3,0,0,24,37,110.1,12,7,20
170,U,HME Model 1 type 3,C,0,2,0,1,325,1,0,2,916,2611,1093,2,3,4,4,0,0,23,51,108.6,14,8,23
171,U,HME Model 1 type 3,B,0,2,0,1,175,0,0,2,956,2652,1095,0,3,1,3,0,1,14,26,107,12,6,21
172,U,HME Model 1 type 3,B,0,3,0,1,258,0,0,2,902,2476,991,2,3,5,3,0,1,17,33,106.9,11,6,19
173,U,HME Model 1 type 3,C,0,3,0,1,276,0,0,0,926,2617,1048,3,1,6,6,2,2,23,48,109.2,13,7,21
174,U,HME Model 1 type 3,C,0,1,1,1,189,1,0,2,886,2527,1035,1,4,5,6,1,2,16,29,108.9,12,6,19
175,U,HME Model 1 type 3,A,1,3,0,1,414,0,0,2,924,2400,1016,0,4,5,8,2,2,5,2,115.8,10,4,18
178,V,HME Model 1 type 3,B,0,4,0,1,200,0,1,2,867,2277,971,169,5,37,85,8,3,10,14,109.9,12,5,19
179,V,HME Model 1 type 3,X,0,2,0,1,208,0,10,0,1012,2126,880,1108,33,385,912,100,20,9,7,111.6,11,5,19
180,V,HME Model 1 type 3,B,0,4,0,1,219,0,0,1,733,1791,837,24,4,10,17,2,0,4,0,112.7,12,4,18
181,V,HME Model 1 type 3,X,0,3,0,0,401,1,2,0,1039,2305,1000,457,20,242,483,63,8,16,20,106.9,13,6,20
182,V,HME Model 1 type 3,C,0,4,0,1,216,2,0,0,905,2337,1012,66,4,30,64,6,2,8,5,110.8,10,4,18
183,V,HME Model 1 type 3,X,0,4,0,1,201,1,5,5,1169,2263,939,978,48,494,1170,148,7,25,32,112.3,12,7,22
184,V,HME Model 1 type 3,X,0,3,0,1,227,5,2,3,1045,2059,901,773,39,474,932,128,15,25,30,110.7,14,8,23
185,V,HME Model 1 type 3,C,0,4,0,1,193,3,1,0,764,2122,948,133,2,10,19,3,2,22,28,113.4,12,6,20
186,V,HME Model 1 type 3,X,0,4,0,1,208,0,2,1,910,2397,1011,487,6,39,70,11,3,30,28,113,14,7,21
187,V,HME Model 1 type 3,X,0,4,0,1,232,4,5,1,761,2176,1003,1014,26,206,385,64,5,42,29,109.9,14,8,20
188,V,HME Model 1 type 3,X,0,4,0,1,105,0,0,0,846,2031,926,0,6,35,77,9,5,7,5,83.6,14,6,19
189,V,HME Model 1 type 3,X,0,3,0,1,311,2,1,0,948,2462,1043,1,8,74,192,21,4,24,32,111.2,12,7,20
190,V,HME Model 1 type 3,C,0,3,0,1,210,0,0,1,987,2604,1109,0,3,13,20,3,3,20,27,109.9,13,7,20
191,V,HME Model 1 type 3,C,0,3,0,1,239,0,0,1,920,2429,1044,1,2,11,14,2,4,24,31,113.1,14,8,21
192,V,HME Model 1 type 3,C,0,2,0,1,291,0,0,0,1011,2632,1111,0,5,0,0,0,1,2,0,116.8,12,4,18
193,V,HME Model 1 type 3,B,0,3,0,1,220,0,0,1,969,2640,1064,1,3,15,20,2,2,19,23,107.6,12,6,19
194,V,HME Model 1 type 3,C,0,2,0,1,206,1,0,0,961,2536,1050,2,6,52,109,13,3,22,29,108.9,13,7,20
195,V,HME Model 1 type 3,B,0,4,0,1,249,0,0,1,984,2482,1049,4,5,57,104,13,3,24,31,107.9,13,7,20
196,V,HME Model 1 type 3,X,0,4,0,1,254,0,0,1,1007,2209,956,12,15,169,299,44,6,19,30,107.7,12,7,21
197,V,HME Model 1 type 3,X,0,3,0,1,262,0,2,2,1008,2439,1038,8,14,132,268,40,18,20,27,119.5,13,8,22
198,V,HME Model 1 type 3,C,0,3,0,1,179,7,0,1,887,2325,964,7,4,21,47,5,2,10,15,118.3,11,5,18
199,V,HME Model 1 type 3,C,0,3,0,1,239,0,0,2,934,2523,1035,17,4,11,21,3,1,18,26,108.8,11,6,19
200,V,HME Model 1 type 3,C,0,4,0,1,228,5,4,3,921,2336,1026,94,10,70,164,18,3,23,27,107.1,12,6,20
201,V,HME Model 1 type 3,X,0,2,0,1,216,1,0,2,930,2493,1012,10,3,19,35,4,3,18,32,107.2,12,6,21
202,V,HME Model 1 type 3,B,0,2,0,1,218,0,0,0,909,2467,1025,9,3,3,3,0,1,15,21,98,10,5,18
203,V,HME Model 1 type 3,B,0,2,0,1,246,0,0,2,960,2658,1096,49,2,2,3,0,2,26,33,110.7,12,7,20
204,V,HME Model 1 type 3,B,0,2,0,1,245,0,0,2,873,2417,1015,137,3,6,6,0,1,25,31,110.5,13,7,20
205,V,HME Model 1 type 3,B,0,3,0,1,223,0,0,1,950,2505,1068,297,2,7,4,0,0,20,22,108.6,13,7,20
206,V,HME Model 1 type 3,C,0,3,0,1,184,0,1,0,938,2561,1046,222,2,12,4,1,0,13,17,109.3,12,6,20
207,V,HME Model 1 type 3,C,0,3,0,1,231,0,1,0,927,2395,1024,580,2,12,8,1,1,16,16,107.2,12,7,20
208,V,HME Model 1 type 3,C,0,3,0,1,242,2,2,0,996,2487,1120,254,3,14,22,3,1,16,22,106.3,13,7,20
210,W,HME Model 1 type 3,X,0,4,0,1,167,0,0,1,787,2168,995,27,10,53,156,14,43,7,40,115.7,33,9,14
211,W,HME Model 1 type 3,X,0,3,0,1,256,0,4,2,965,2345,1026,22,12,97,219,25,19,19,22,110.1,11,6,20
212,W,HME Model 1 type 3,C,0,2,0,1,256,2,4,2,933,2276,1033,25,9,73,165,21,8,19,11,106.6,12,5,19
213,W,HME Model 1 type 3,B,0,2,0,1,266,0,0,0,849,2242,996,4,4,16,34,6,5,15,33,112.9,13,7,21
214,W,HME Model 1 type 3,B,0,2,0,1,246,0,0,1,862,2160,925,3,4,36,81,9,4,10,34,111.6,13,7,20
215,W,HME Model 1 type 3,B,0,2,0,1,177,0,0,1,913,2351,1036,1,2,18,35,4,4,9,19,113.8,12,6,20
216,W,HME Model 1 type 3,B,0,2,0,1,177,0,0,1,876,2228,965,1,2,14,37,4,4,9,22,112.1,13,6,19
217,W,HME Model 1 type 3,B,0,2,0,1,272,0,0,1,865,2328,996,0,2,16,55,5,7,11,26,111,14,7,21
218,W,HME Model 1 type 3,B,0,1,1,1,296,0,1,1,853,2231,991,1,2,9,12,2,4,14,32,110.7,15,8,22
219,W,HME Model 1 type 3,A,1,1,1,1,189,0,0,1,868,2309,978,0,2,8,10,1,1,10,24,111.4,13,7,20
220,W,HME Model 1 type 3,A,1,2,0,1,244,0,0,0,832,2295,981,1,2,4,11,1,3,12,20,108,13,7,19
221,W,HME Model 1 type 3,B,0,2,0,1,279,0,0,1,933,2419,1050,1,3,6,11,2,4,16,28,109.1,13,7,20
